Name,Longitude ,Latitude
Ohura Valley Primary,174.984709,-38.844333
Inglewood High School,174.18992,-39.156656
Stratford High School,174.29667,-39.339665
St Mary's Diocesan School (Stratford),174.281297,-39.331771
Opunake High School,173.851541,-39.450639
Hawera High School,174.275269,-39.58516
Ruapehu College,175.412796,-39.41725
Patea Area School,174.481481,-39.76142
Whanganui City College,175.046397,-39.931369
Whanganui Girls' College,175.055092,-39.919787
Whanganui High School,175.034543,-39.934054
Cullinane College,175.047244,-39.913342
Longburn Adventist College,175.558142,-40.388364
Wanganui Collegiate School,175.038219,-39.929603
Rangitikei College,175.384373,-40.06965
Nga Tawa Diocesan School,175.398803,-40.067539
Feilding High School,175.573639,-40.214241
Awatapu College,175.600206,-40.372423
Hato Paora College,175.659639,-40.15174
Freyberg High School,175.627632,-40.337826
Queen Elizabeth College,175.604574,-40.3469
Palmerston North Boys' High School,175.609856,-40.34797
Palmerston North Girls' High School,175.619197,-40.367121
St Peter's College (Palmerston North),175.605351,-40.334097
Manawatu College,175.277658,-40.466437
Ngata Memorial College,178.32425,-37.893015
Lytton High School,178.000181,-38.643869
Gisborne Boys' High School,178.009033,-38.658873
Gisborne Girls' High School,178.008233,-38.655219
Campion College,177.989404,-38.647793
Tolaga Bay Area School,178.300177,-38.373074
Wairoa College,177.414174,-39.035347
Taradale High School,176.849976,-39.542065
Napier Boys' High School,176.916453,-39.514768
Napier Girls' High School,176.915036,-39.485659
Tamatea High School,176.870976,-39.51829
Sacred Heart College (Napier),176.911159,-39.483141
William Colenso College,176.895837,-39.506064
Te Wharekura o Ruatoki,177.007448,-38.148073
St Joseph's Maori Girls' College,176.855479,-39.526564
Havelock North High School,176.894776,-39.666613
Iona College,176.878964,-39.679047
Woodford House,176.880403,-39.684214
St John's College (Hastings),176.857153,-39.639766
Hastings Boys' High School,176.834935,-39.650209
Hastings Girls' High School,176.834762,-39.627208
Karamu High School,176.866437,-39.646515
Lindisfarne College,176.836815,-39.625797
Taikura Rudolf Steiner School,176.845372,-39.636362
Te Aute College,176.629411,-39.826457
Central Hawkes Bay College,176.560939,-40.00178
Dannevirke High School,176.101029,-40.201339
Tararua College,175.834844,-40.456045
Horowhenua College,175.279764,-40.621227
Waiopehu College,175.296334,-40.629314
Kaitaia Abundant Life School,173.257583,-35.107461
Otaki College,175.153793,-40.759362
Wairarapa College,175.646283,-40.9503
Solway College,175.630828,-40.9564
Makoura College,175.666496,-40.961323
Chanel College,175.655051,-40.960108
Rathkeale College,175.687565,-40.898298
St Matthew's Collegiate (Masterton),175.650439,-40.94516
Kapiti College,174.982228,-40.921083
Paraparaumu College,175.003987,-40.888258
Kuranui College,175.451039,-41.092586
Upper Hutt College,175.040547,-41.126201
Heretaunga College,175.055074,-41.129088
St Patrick's College (Silverstream),175.012683,-41.146109
Aotea College,174.854396,-41.125155
Mana College,174.831115,-41.127967
Porirua College,174.874459,-41.141261
Bishop Viard College,174.839225,-41.140416
Tawa College,174.830508,-41.164995
Taita College,174.966401,-41.176078
Naenae College,174.940755,-41.196633
St Bernard's College,174.916694,-41.210301
Hutt Valley High School,174.901463,-41.216497
Sacred Heart College (Lower Hutt),174.906699,-41.213997
Chilton St James School,174.913594,-41.210241
St Oran's College,174.916425,-41.204307
Waipa Christian School,175.329509,-38.021232
Newlands College,174.822759,-41.218096
Onslow College,174.797671,-41.231915
Wellington Girls' College,174.780672,-41.275422
Wellington High School and Com Ed Centre,174.774692,-41.300724
Wellington East Girls' College,174.785007,-41.302357
Wellington College,174.781374,-41.30361
St Patrick's College (Kilbirnie),174.795985,-41.313832
Rongotai College,174.80066,-41.321848
Queen Margaret College,174.780665,-41.272425
TKKM o Hoani Waititi,174.631691,-36.907202
Samuel Marsden Collegiate School,174.744353,-41.283945
Scots College,174.818441,-41.326932
Te Kura Amorangi o Whakawatea,175.271398,-37.82414
Otamatea Christian School,174.35851,-36.109236
St Catherines College (Kilbirnie),174.79248,-41.318043
St Mary's College (Wellington),174.775179,-41.275812
Queen Charlotte College,174.02315,-41.279741
Marlborough Boys' College,173.955063,-41.51902
Marlborough Girls' College,173.944436,-41.507454
Collingwood Area School,172.678712,-40.682197
Rai Valley Area School,173.58169,-41.23408
Golden Bay High School,172.808357,-40.848048
Nayland College,173.232705,-41.305048
Nelson College,173.275568,-41.285573
Nelson College For Girls,173.283181,-41.279353
Waimea College,173.196868,-41.337691
Tapawera Area School,172.824973,-41.39319
Motueka High School,173.004622,-41.11485
Murchison Area School,172.326529,-41.799471
Karamea Area School,172.11614,-41.248962
Buller High School,171.605043,-41.747592
Greymouth High School,171.197215,-42.462775
John Paul II High School,171.21203,-42.451507
Westland High School,170.972914,-42.717507
South Westland Area School,170.55168,-43.142011
Kaikoura High School,173.674454,-42.400438
Amuri Area School,172.848256,-42.771117
Cheviot Area School,173.275547,-42.811459
Oxford Area School,172.187986,-43.2942
Hurunui College,172.637036,-42.92381
Rangiora High School,172.598729,-43.298192
Kaiapoi High School,172.646126,-43.387172
St Bedes College,172.616871,-43.484055
Papanui High School,172.606715,-43.491041
Christchurch Adventist School,172.611436,-43.499023
St Andrew's College (Christchurch),172.615873,-43.506367
Burnside High School,172.57771,-43.50732
Mairehau High School,172.648484,-43.494021
Shirley Boys' High School,172.660834,-43.512348
Avonside Girls' High School,172.661521,-43.524033
Rangi Ruru Girls' School,172.617787,-43.518903
Villa Maria College,172.567569,-43.528308
Christchurch Boys' High School,172.598419,-43.524811
Christchurch Girls' High School | Te Kura o Hine Waiora,172.611374,-43.524297
Mangakino Area School,175.771411,-38.369528
Christ's College,172.627122,-43.529721
St Thomas of Canterbury College,172.556211,-43.533612
St Margaret's College,172.622159,-43.519096
Riccarton High School,172.566365,-43.535895
Middleton Grange School,172.577843,-43.53673
Hagley Community College,172.623008,-43.537243
Linwood College,172.667663,-43.538767
Hornby High School,172.527634,-43.538178
Hillmorton High School,172.592782,-43.55768
Cashmere High School,172.62386,-43.564569
Hillview Christian School,172.652801,-43.555741
Marian College,172.646143,-43.539044
Westminster Christian School,174.710163,-36.76112
Darfield High School,172.10366,-43.490028
Lincoln High School,172.485673,-43.635766
Mount Hutt College,171.649415,-43.636476
Ellesmere College,172.292414,-43.757831
Akaroa Area School,172.962434,-43.811179
Ashburton College,171.750169,-43.892281
Geraldine High School,171.248558,-44.091799
Mackenzie College,170.825165,-44.101614
Opihi College,171.293655,-44.239709
Craighead Diocesan School,171.225492,-44.388301
Roncalli College,171.245982,-44.402798
Mountainview High School,171.219535,-44.376706
Timaru Boys' High School,171.230188,-44.400183
Timaru Girls' High School,171.244211,-44.405382
Waimate High School,171.047272,-44.73745
Waitaki Valley School,170.464687,-44.742499
Waitaki Boys' High School,170.99382,-45.076998
Waitaki Girls' High School,170.974331,-45.088979
The Cathedral Grammar School,172.628554,-43.528058
St Kevins College (Oamaru),170.983153,-45.064918
Maniototo Area School,170.099776,-45.125268
East Otago High School,170.721208,-45.47891
