SAU,1993-03-01,1993-06-01,1993-09-01,1993-12-01,1994-03-01,1994-06-01,1994-09-01,1994-12-01,1995-03-01,1995-06-01,1995-09-01,1995-12-01,1996-03-01,1996-06-01,1996-09-01,1996-12-01,1997-03-01,1997-06-01,1997-09-01,1997-12-01,1998-03-01,1998-06-01,1998-09-01,1998-12-01,1999-03-01,1999-06-01,1999-09-01,1999-12-01,2000-03-01,2000-06-01,2000-09-01,2000-12-01,2001-03-01,2001-06-01,2001-09-01,2001-12-01,2002-03-01,2002-06-01,2002-09-01,2002-12-01,2003-03-01,2003-06-01,2003-09-01,2003-12-01,2004-03-01,2004-06-01,2004-09-01,2004-12-01,2005-03-01,2005-06-01,2005-09-01,2005-12-01,2006-03-01,2006-06-01,2006-09-01,2006-12-01,2007-03-01,2007-06-01,2007-09-01,2007-12-01,2008-03-01,2008-06-01,2008-09-01,2008-12-01,2009-03-01,2009-06-01,2009-09-01,2009-12-01,2010-03-01,2010-06-01,2010-09-01,2010-12-01,2011-03-01,2011-06-01,2011-09-01,2011-12-01,2012-03-01,2012-06-01,2012-09-01,2012-12-01,2013-03-01,2013-06-01,2013-09-01,2013-12-01,2014-03-01,2014-06-01,2014-09-01,2014-12-01,2015-03-01,2015-06-01,2015-09-01,2015-12-01,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01
0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.066666666666666,261.93333333333334
500100,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500202,,,,,,,,,,,,,,,136.0,144.4,144.4,183.2,199.46666666666667,204.26666666666668,216.46666666666667,225.06666666666666,261.3333333333333,274.46666666666664,306.53333333333336,328.8666666666667,347.4,339.4,381.1333333333333,404.06666666666666,405.26666666666665,441.6,447.2,473.26666666666665,494.06666666666666,516.1333333333333,549.9333333333333,555.8666666666667,564.8,564.8,573.8666666666667,594.6666666666666,576.3333333333334,581.1333333333333,592.3333333333334,639.0,651.3333333333334,626.6666666666666,628.3333333333334,653.8,641.2,648.6666666666666,658.8666666666667,641.1333333333333,630.4666666666667,609.1333333333333,616.3333333333334,622.9333333333333,642.6666666666666,642.4,609.6,622.2666666666667,657.0,643.9333333333333,606.1333333333333,639.2,671.0,648.7333333333333,673.6,727.4,794.6,779.6,807.2,806.6666666666666,833.6,832.8,837.3333333333334,846.6,851.6666666666666,854.6666666666666,886.3333333333334,862.4666666666667,863.7333333333333,875.2,857.9333333333333,837.4,865.5333333333333,883.0,906.6,906.8,1000.8666666666667,1004.4,1014.5333333333333,1085.0,1116.2666666666667,1096.5333333333333,1118.6666666666667,1174.4
500203,,,,,,,,,,,,,,,93.13333333333334,112.8,96.8,105.0,147.0,183.26666666666668,204.2,253.4,290.26666666666665,305.3333333333333,342.6,386.06666666666666,423.0,448.1333333333333,470.26666666666665,469.8,481.73333333333335,532.0,567.2666666666667,570.8,566.7333333333333,581.2666666666667,570.3333333333334,603.5333333333333,602.4666666666667,621.7333333333333,642.0666666666667,651.2666666666667,673.6,706.0666666666667,751.2,797.1333333333333,824.8666666666667,874.1333333333333,897.3333333333334,918.5333333333333,988.6666666666666,980.0666666666667,962.8,993.2,990.4666666666667,957.4666666666667,971.2666666666667,1000.7333333333333,1033.5333333333333,1091.6,1110.0,1139.2666666666667,1147.4666666666667,1173.8,1185.0666666666666,1190.4,1252.8666666666666,1292.2,1330.0,1365.5333333333333,1476.0666666666666,1484.5333333333333,1444.6666666666667,1418.4,1386.5333333333333,1347.1333333333334,1338.5333333333333,1314.0,1313.5333333333333,1343.6666666666667,1304.0666666666666,1285.0666666666666,1259.4,1255.9333333333334,1244.4,1203.4,1201.8666666666666,1211.8,1218.3333333333333,1196.8,1227.8,1254.7333333333333,1268.0,1266.2,1272.8,1232.4,1235.3333333333333,1278.7333333333333
500204,,,,,,,,,,,,,,,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,18.533333333333335,38.53333333333333,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,47.46666666666667,47.46666666666667,47.46666666666667,27.466666666666665,27.466666666666665,37.266666666666666,37.266666666666666,83.8,83.8,83.8,83.8,83.8,83.8,109.0,109.0,102.6,102.6,102.6,102.6,102.6,92.8,123.06666666666666,76.53333333333333,76.53333333333333,76.53333333333333,134.13333333333333,134.13333333333333,134.13333333333333,108.93333333333334,108.93333333333334,87.86666666666666,87.86666666666666,124.26666666666667,161.86666666666667,161.86666666666667,161.86666666666667,131.6,131.6,159.33333333333334,159.33333333333334,137.2,151.6,151.6,184.66666666666666,184.66666666666666,202.0,236.73333333333332,231.06666666666666,193.46666666666667,206.86666666666667,239.53333333333333,239.53333333333333,271.6666666666667,243.93333333333334,276.06666666666666,240.6,226.2,226.2
500205,,,,,,,,,,,,,,,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,36.93333333333333,72.8,72.8,84.53333333333333,78.53333333333333,100.53333333333333,109.8,131.66666666666666,131.66666666666666,152.2,170.93333333333334,190.8,232.0,272.46666666666664,315.26666666666665,313.53333333333336,320.26666666666665,339.93333333333334,328.2,335.4,357.1333333333333,368.8,356.73333333333335,399.93333333333334,402.06666666666666,407.6666666666667,434.46666666666664,436.8666666666667,466.53333333333336,473.2,506.1333333333333,475.8666666666667,479.46666666666664,492.2,502.46666666666664,515.6,506.6,561.7333333333333,548.4,570.8666666666667,577.6,592.4666666666667,593.7333333333333,554.2,568.7333333333333,552.4666666666667,573.3333333333334,550.0666666666667,642.4,628.3333333333334,623.9333333333333,649.8666666666667,659.0666666666667,765.0666666666667,738.6,725.2666666666667,696.8,719.2666666666667,688.6666666666666,640.7333333333333,680.2,679.3333333333334,728.8,657.4,679.4666666666667,660.6,640.2666666666667,585.5333333333333,469.6,467.73333333333335,466.46666666666664,433.4,409.26666666666665,446.46666666666664,449.26666666666665,456.6666666666667,463.1333333333333
500206,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333,24.133333333333333
500207,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.866666666666667,15.866666666666667,15.866666666666667,15.866666666666667,15.866666666666667,36.53333333333333,36.53333333333333,36.53333333333333,36.53333333333333,36.53333333333333,36.53333333333333,36.53333333333333,36.53333333333333,88.4,88.4,72.53333333333333,72.53333333333333,72.53333333333333,72.53333333333333,72.53333333333333,79.46666666666667,79.46666666666667,79.46666666666667,79.46666666666667,79.46666666666667,79.46666666666667,79.46666666666667,79.46666666666667,27.6,27.6,27.6,27.6,27.6,27.6,85.06666666666666,57.46666666666667,57.46666666666667,57.46666666666667,85.33333333333333,85.33333333333333,113.06666666666666,140.26666666666668,140.26666666666668,154.86666666666667,154.86666666666667,154.86666666666667,171.13333333333333,171.13333333333333,203.66666666666666,164.2,164.2,164.2,164.2,136.33333333333334
500208,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20.533333333333335,20.533333333333335,20.533333333333335,20.533333333333335,20.533333333333335,20.533333333333335,39.2,39.2,39.2,56.0,56.0,56.0,56.0,56.0,56.0,35.46666666666667,50.666666666666664,50.666666666666664,50.666666666666664,50.666666666666664,50.666666666666664,51.266666666666666,72.46666666666667,72.46666666666667,100.2,119.13333333333334,138.6,138.6,138.6,138.6,138.6,123.4,167.6,167.6,187.2,210.66666666666666,191.4,170.2,197.93333333333334,153.4,159.53333333333333,140.06666666666666,140.06666666666666,169.4,197.26666666666668,224.8,224.8,180.6,192.66666666666666,227.66666666666666,233.86666666666667,233.86666666666667,245.66666666666666,278.1333333333333,305.93333333333334,295.46666666666664,325.3333333333333,378.06666666666666,377.8,409.3333333333333,410.6,442.6,456.4,506.26666666666665,512.6666666666666,545.0666666666667,583.3333333333334,602.4666666666667,542.2666666666667,548.6,547.5333333333333,545.8,493.06666666666666,464.0,404.6,409.8,420.46666666666664,406.6666666666667
500301,,,,,,,,,,,,,,,574.8666666666667,563.6,591.4,612.8666666666667,655.5333333333333,689.3333333333334,736.1333333333333,763.0666666666667,786.3333333333334,840.3333333333334,898.1333333333333,929.9333333333333,967.8,1002.9333333333333,1007.5333333333333,1015.6,1045.6,1056.3333333333333,1087.9333333333334,1090.0666666666666,1089.2,1103.2,1094.0,1102.2666666666667,1100.9333333333334,1111.6,1091.0,1093.8666666666666,1112.5333333333333,1121.4666666666667,1135.9333333333334,1147.7333333333333,1138.6666666666667,1133.0666666666666,1117.5333333333333,1126.5333333333333,1141.5333333333333,1166.3333333333333,1164.7333333333333,1180.8,1147.0,1175.8666666666666,1203.0666666666666,1225.0,1264.2666666666667,1276.6,1284.8666666666666,1311.4,1334.5333333333333,1367.6,1397.8666666666666,1418.5333333333333,1420.5333333333333,1440.4,1467.1333333333334,1510.9333333333334,1554.4666666666667,1586.8666666666666,1589.6666666666667,1573.8666666666666,1576.7333333333333,1586.8666666666666,1597.6666666666667,1604.6,1655.6,1641.5333333333333,1648.9333333333334,1675.3333333333333,1699.9333333333334,1702.4666666666667,1749.1333333333334,1712.5333333333333,1682.4,1694.1333333333334,1704.1333333333334,1732.7333333333333,1754.9333333333334,1805.8,1812.0,1789.8666666666666,1863.0666666666666,1860.2666666666667,1853.0666666666666,1857.8
